YEAR,TEAM,PAYROLL,DIVISION,WINS,LOSSES,*DATA COURTESY OF BASEBALL REFERENCE & STEVETHEUMP.COM*
2021,Pirates,35.9M,NL Central,61,101,
2022,Pirates,37.9M,NL Central,62,100,
2023,Pirates,60.8M,NL Central,76,86,
2024,Pirates,72.0M,NL Central,76,86,
2025,Pirates,83.8M,NL Central,71,91,
2016,Marlins,84.6M,NL East,79,82,
2017,Marlins,111.9M,NL East,77,85,
2018,Marlins,98.6M,NL East,63,98,
2019,Marlins,72.4M,NL East,57,105,
2020,Marlins,28.6M,NL East,31,29,
2021,Marlins,49.4M,NL East,67,95,
2022,Marlins,69.0M,NL East,69,93,
2023,Marlins,81.1M,NL East,84,78,
2024,Marlins,83.7M,NL East,62,100,
2025,Marlins,68.0M,NL East,79,83,
2016,Athletics,80.3M,AL West,69,93,
2017,Athletics,81.7M,AL West,75,87,
2018,Athletics,68.5M,AL West,97,65,
2019,Athletics,99.2M,AL West,97,65,
2020,Athletics,35.5M,AL West,36,24,
2021,Athletics,74.6M,AL West,86,76,
2022,Athletics,32.5M,AL West,60,102,
2023,Athletics,43.1M,AL West,50,112,
2024,Athletics,47.9M,AL West,69,93,
2025,Athletics,74.0M,AL West,76,86,
2016,Rays,73.6M,AL East,68,94,
2017,Rays,70.0M,AL East,80,82,
2018,Rays,78.7M,AL East,90,72,
2019,Rays,60.4M,AL East,96,66,
2020,Rays,28.7M,AL East,40,20,
2021,Rays,60.4M,AL East,100,62,
2022,Rays,75.3M,AL East,86,76,
2023,Rays,64.7M,AL East,99,63,
2024,Rays,88.1M,AL East,80,82,
2025,Rays,88.7M,AL East,77,85,
2016,Diamondbacks,70.8M,NL West,69,93,
2017,Diamondbacks,93.3M,NL West,93,69,
2018,Diamondbacks,132.5M,NL West,82,80,
2019,Diamondbacks,123.9M,NL West,85,77,
2020,Diamondbacks,64.2M,NL West,25,35,
2021,Diamondbacks,89.1M,NL West,52,100,
2022,Diamondbacks,76.0M,NL West,74,88,
2023,Diamondbacks,112.8M,NL West,84,78,
2024,Diamondbacks,156.5M,NL West,89,73,
2025,Diamondbacks,184.2M,NL West,80,82,
2016,Astros,69.1M,AL West,84,78,
2017,Astros,124.3M,AL West,101,61,
2018,Astros,160.0M,AL West,103,59,
2019,Astros,160.8M,AL West,107,55,
2020,Astros,81.8M,AL West,29,31,
2021,Astros,171.0M,AL West,95,67,
2022,Astros,163.9M,AL West,106,56,
2023,Astros,180.9M,AL West,90,72,
2024,Astros,237.3M,AL West,88,73,
2025,Astros,218.6M,AL West,87,75,
