YEAR,TEAM,PAYROLL,DIVISION,WINS,LOSSES,*DATA COURTESY OF BASEBALL REFERENCE & STEVETHEUMP.COM*
2025,Rockies,"$121,474,126",NL West,43,119,
2016,Braves,"$87,622,648",NL East,68,93,
2017,Braves,"$112,437,541",NL East,72,90,
2018,Braves,"$120,540,000",NL East,90,72,
2019,Braves,"$113,778,369",NL East,97,65,
2020,Braves,"$66,275,488",NL East,35,25,
2021,Braves,"$134,459,435",NL East,88,73,
2022,Braves,"$173,935,000",NL East,101,61,
2023,Braves,"$199,727,500",NL East,104,58,
2024,Braves,"$225,315,000",NL East,89,73,
2025,Braves,"$215,256,393",NL East,76,86,
2016,Guardians,"$86,339,067",AL Central,94,67,
2017,Guardians,"$124,861,165",AL Central,102,60,
2018,Guardians,"$134,350,000",AL Central,91,71,
2019,Guardians,"$119,241,701",AL Central,93,69,
2020,Guardians,"$37,642,966",AL Central,35,25,
2021,Guardians,"$46,833,300",AL Central,80,82,
2022,Guardians,"$42,310,000",AL Central,92,70,
2023,Guardians,"$75,010,000",AL Central,76,86,
2024,Guardians,"$86,433,928",AL Central,92,69,
2025,Guardians,"$99,590,961",AL Central,88,74,
2016,Pirates,"$85,885,832",NL Central,78,83,
2017,Pirates,"$100,575,946",NL Central,75,87,
2018,Pirates,"$87,880,000",NL Central,82,79,
2019,Pirates,"$76,589,154",NL Central,69,93,
2020,Pirates,"$24,770,928",NL Central,19,41,
2021,Pirates,"$35,905,000",NL Central,61,101,
2022,Pirates,"$37,875,000",NL Central,62,100,
2023,Pirates,"$60,787,500",NL Central,76,86,
2024,Pirates,"$72,014,000",NL Central,76,86,
2025,Pirates,"$83,761,012",NL Central,71,91,
2016,Marlins,"$84,637,500",NL East,79,82,
2017,Marlins,"$111,881,100",NL East,77,85,
2018,Marlins,"$98,640,000",NL East,63,98,
2019,Marlins,"$72,449,404",NL East,57,105,
2020,Marlins,"$28,560,819",NL East,31,29,
2021,Marlins,"$49,425,000",NL East,67,95,
2022,Marlins,"$69,000,000",NL East,69,93,
2023,Marlins,"$81,075,000",NL East,84,78,
2024,Marlins,"$83,710,000",NL East,62,100,
2025,Marlins,"$68,004,097",NL East,79,83,
2016,Athletics,"$80,279,166",AL West,69,93,
2017,Athletics,"$81,738,333",AL West,75,87,
2018,Athletics,"$68,530,000",AL West,97,65,
2019,Athletics,"$99,205,017",AL West,97,65,
2020,Athletics,"$35,520,598",AL West,36,24,
2021,Athletics,"$74,615,000",AL West,86,76,
2022,Athletics,"$32,548,334",AL West,60,102,
2023,Athletics,"$43,145,000",AL West,50,112,
2024,Athletics,"$47,905,000",AL West,69,93,
2025,Athletics,"$74,036,474",AL West,76,86,
2016,Rays,"$73,649,584",AL East,68,94,
2017,Rays,"$69,962,532",AL East,80,82,
2018,Rays,"$78,730,000",AL East,90,72,
2019,Rays,"$60,444,931",AL East,96,66,
2020,Rays,"$28,735,222",AL East,40,20,
2021,Rays,"$60,388,600",AL East,100,62,
2022,Rays,"$75,347,813",AL East,86,76,
2023,Rays,"$64,652,911",AL East,99,63,
2024,Rays,"$88,066,012",AL East,80,82,
2025,Rays,"$88,729,437",AL East,77,85,
2016,Diamondbacks,"$70,762,833",NL West,69,93,
2017,Diamondbacks,"$93,257,600",NL West,93,69,
2018,Diamondbacks,"$132,500,000",NL West,82,80,
2019,Diamondbacks,"$123,932,983",NL West,85,77,
2020,Diamondbacks,"$64,201,669",NL West,25,35,
2021,Diamondbacks,"$89,077,233",NL West,52,100,
2022,Diamondbacks,"$75,993,333",NL West,74,88,
2023,Diamondbacks,"$112,763,571",NL West,84,78,
2024,Diamondbacks,"$156,511,716",NL West,89,73,
2025,Diamondbacks,"$184,159,359",NL West,80,82,
2016,Astros,"$69,064,200",AL West,84,78,
2017,Astros,"$124,343,900",AL West,101,61,
2018,Astros,"$160,040,000",AL West,103,59,
2019,Astros,"$160,774,666",AL West,107,55,
2020,Astros,"$81,848,621",AL West,29,31,
2021,Astros,"$171,018,567",AL West,95,67,
2022,Astros,"$163,939,599",AL West,106,56,
2023,Astros,"$180,888,333",AL West,90,72,
2024,Astros,"$237,303,141",AL West,88,73,
2025,Astros,"$218,642,604",AL West,87,75,
