YEAR,TEAM,SPENDING (in millions),DIVISION,WINS,LOSSES
2020,Panthers,$212.69,NFC South,5,11
2021,Panthers,$184.55,NFC South,5,12
2022,Panthers,$237.81,NFC South,7,10
2023,Panthers,$230.52,NFC South,2,15
2024,Panthers,$300.55,NFC South,5,12
2025,Panthers,$292.92,NFC South,8,9
2016,Seahawks,$141.90,NFC West,10,5
2017,Seahawks,$180.90,NFC West,9,7
2018,Seahawks,$164.23,NFC West,10,6
2019,Seahawks,$179.74,NFC West,11,5
2020,Seahawks,$221.17,NFC West,12,4
2021,Seahawks,$206.95,NFC West,7,10
2022,Seahawks,$239.54,NFC West,9,8
2023,Seahawks,$258.26,NFC West,9,8
2024,Seahawks,$229.03,NFC West,10,7
2025,Seahawks,$260.79,NFC West,14,3
2016,49ers,$136.99,NFC West,2,14
2017,49ers,$166.63,NFC West,6,10
2018,49ers,$202.81,NFC West,4,12
2019,49ers,$211.66,NFC West,13,3
2020,49ers,$243.98,NFC West,6,10
2021,49ers,$231.19,NFC West,10,7
2022,49ers,$227.93,NFC West,13,4
2023,49ers,$268.47,NFC West,12,5
2024,49ers,$334.53,NFC West,6,11
2025,49ers,$336.00,NFC West,12,5
2016,Rams,$150.82,NFC West,4,12
2017,Rams,$155.81,NFC West,11,5
2018,Rams,$227.11,NFC West,13,3
2019,Rams,$188.85,NFC West,9,7
2020,Rams,$215.61,NFC West,10,6
2021,Rams,$193.38,NFC West,12,5
2022,Rams,$285.56,NFC West,5,12
2023,Rams,$185.94,NFC West,10,7
2024,Rams,$219.12,NFC West,10,7
2025,Rams,$247.75,NFC West,12,5
2016,Cardinals,$154.57,NFC West,7,8
2017,Cardinals,$167.46,NFC West,8,8
2018,Cardinals,$170.65,NFC West,3,13
2019,Cardinals,$195.13,NFC West,5,10
2020,Cardinals,$228.08,NFC West,8,8
2021,Cardinals,$199.74,NFC West,11,6
2022,Cardinals,$225.10,NFC West,4,13
2023,Cardinals,$230.77,NFC West,4,13
2024,Cardinals,$291.74,NFC West,8,9
2025,Cardinals,$275.64,NFC West,3,14
2016,NFL,$155.30,N/A,N/A,N/A
2017,NFL,$167.00,N/A,N/A,N/A
2018,NFL,$177.20,N/A,N/A,N/A
2019,NFL,$188.20,N/A,N/A,N/A
2020,NFL,$198.20,N/A,N/A,N/A
2021,NFL,$182.50,N/A,N/A,N/A
2022,NFL,$208.20,N/A,N/A,N/A
2023,NFL,$224.80,N/A,N/A,N/A
2024,NFL,$255.40,N/A,N/A,N/A
2025,NFL,$279.20,N/A,N/A,N/A
