YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2022,Saints,"$275,562,219",NFC South,7,10,
2023,Saints,"$262,659,663",NFC South,9,8,
2024,Saints,"$266,390,677",NFC South,5,12,
2025,Saints,"$238,848,111",NFC South,6,11,
2016,Falcons,"$139,699,795",NFC South,11,5,
2017,Falcons,"$175,557,948",NFC South,10,6,
2018,Falcons,"$188,494,393",NFC South,7,9,
2019,Falcons,"$262,717,119",NFC South,7,9,
2020,Falcons,"$205,770,850",NFC South,4,12,
2021,Falcons,"$159,541,709",NFC South,7,10,
2022,Falcons,"$168,515,753",NFC South,7,10,
2023,Falcons,"$263,716,499",NFC South,7,10,
2024,Falcons,"$323,753,192",NFC South,8,9,
2025,Falcons,"$283,080,128",NFC South,8,9,
2016,Panthers,"$126,485,385",NFC South,6,10,
2017,Panthers,"$206,118,721",NFC South,11,5,
2018,Panthers,"$189,276,611",NFC South,7,9,
2019,Panthers,"$183,929,293",NFC South,5,11,
2020,Panthers,"$212,688,413",NFC South,5,11,
2021,Panthers,"$184,549,416",NFC South,5,12,
2022,Panthers,"$237,805,212",NFC South,7,10,
2023,Panthers,"$230,522,622",NFC South,2,15,
2024,Panthers,"$300,550,658",NFC South,5,12,
2025,Panthers,"$292,922,003",NFC South,8,9,
2016,Seahawks,"$141,904,565",NFC West,10,5,
2017,Seahawks,"$180,904,744",NFC West,9,7,
2018,Seahawks,"$164,228,768",NFC West,10,6,
2019,Seahawks,"$179,739,741",NFC West,11,5,
2020,Seahawks,"$221,174,179",NFC West,12,4,
2021,Seahawks,"$206,947,126",NFC West,7,10,
2022,Seahawks,"$239,536,020",NFC West,9,8,
2023,Seahawks,"$258,264,406",NFC West,9,8,
2024,Seahawks,"$229,031,876",NFC West,10,7,
2025,Seahawks,"$260,792,640",NFC West,14,3,
2016,49ers,"$136,994,192",NFC West,2,14,
2017,49ers,"$166,630,727",NFC West,6,10,
2018,49ers,"$202,814,176",NFC West,4,12,
2019,49ers,"$211,659,034",NFC West,13,3,
2020,49ers,"$243,983,860",NFC West,6,10,
