YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2025,Packers,304.1M,NFC North,9,7,
2016,Lions,148.9M,NFC North,9,7,
2017,Lions,203.2M,NFC North,9,7,
2018,Lions,157.7M,NFC North,6,10,
2019,Lions,209.8M,NFC North,3,12,
2020,Lions,200.8M,NFC North,5,11,
2021,Lions,199.4M,NFC North,3,13,
2022,Lions,231.1M,NFC North,9,8,
2023,Lions,215.3M,NFC North,12,5,
2024,Lions,315.9M,NFC North,15,2,
2025,Lions,302.7M,NFC North,9,8,
2016,Vikings,159.8M,NFC North,8,8,
2017,Vikings,168.7M,NFC North,13,3,
2018,Vikings,218.1M,NFC North,8,7,
2019,Vikings,205.9M,NFC North,10,6,
2020,Vikings,228.7M,NFC North,7,9,
2021,Vikings,191.5M,NFC North,8,9,
2022,Vikings,230.0M,NFC North,13,4,
2023,Vikings,232.2M,NFC North,7,10,
2024,Vikings,279.5M,NFC North,14,3,
2025,Vikings,345.8M,NFC North,9,8,
2016,Bears,158.0M,NFC North,3,13,
2017,Bears,175.4M,NFC North,5,11,
2018,Bears,237.3M,NFC North,12,4,
2019,Bears,180.7M,NFC North,8,8,
2020,Bears,228.5M,NFC North,8,8,
2021,Bears,194.6M,NFC North,6,11,
2022,Bears,146.6M,NFC North,3,14,
2023,Bears,242.1M,NFC North,7,10,
2024,Bears,301.4M,NFC North,5,12,
2025,Bears,312.7M,NFC North,11,6,
2016,Buccaneers,159.1M,NFC South,9,7,
2017,Buccaneers,150.9M,NFC South,5,11,
2018,Buccaneers,192.6M,NFC South,5,11,
2019,Buccaneers,194.5M,NFC South,7,9,
2020,Buccaneers,216.9M,NFC South,11,5,
2021,Buccaneers,265.0M,NFC South,13,4,
2022,Buccaneers,266.3M,NFC South,8,9,
2023,Buccaneers,213.2M,NFC South,9,8,
2024,Buccaneers,256.2M,NFC South,10,7,
2025,Buccaneers,300.1M,NFC South,8,9,
2016,Saints,163.2M,NFC South,7,9,
2017,Saints,156.6M,NFC South,11,5,
2018,Saints,170.7M,NFC South,13,3,
2019,Saints,194.9M,NFC South,13,3,
